LOCATION	STATION	NAME	GNIS_NAME	EPAID	DIRECT	LATITUDE	LONGITUDE	bap	wqa	MAX_ISD	P_Trophic	N_Trophic	HabitatAssessment	BASIN	Spp	HBI	EPT	PMA	top3	totind	chir	trich	ephem	plecop	coleop	oligo	moll	crus	inst	other	chir_tax	tric_tax	eph_tax	plec_tax	col_tax	olig_tax	moll_tax	oth_tax	inst_tax	domin1	domin2	domin3	domin4	domin5	contr1	contr2	contr3	contr4	contr5	bapdiv	pon	dom3	bapnco	isd_impmax_val	isd_munimax_val	isd_natmax_val	isd_nonpointmax_val	isd_sewagemax_val	isd_silt.max_val	isd_toxic.max_val	SiteType	NBI-P	NBI-N	siteID	xcoord	ycoord	mdcaty	wgt	stratum	panel	FCODE	SO	NAWQA	NACEC_ECO	ST	Frame_07	WSA_Eco9	StrahCat	INC_FW08	Urban	NFWACat	Basin	Eval_Status	Eval_Reason
			Byram River	7733341																																																												NYR08719-0103	1847039.677	2217672.909	4th+	0.54349457	Atlantic Ocean/Long Island Sound_Include	Base	46006	4	NEMA	Northeastern Coastal Zone	NY	Include	NAP	4th	0.000263588	NonUrban	NY_NAP_4th_Include	Atlantic Ocean/Long Island Sound	NT_Tidal	"Remove from list, site is not wadeable and is tidal"
				6240211																																																												NYR08719-0104	1839783.031	2221382.639	2nd	13.29649521	Atlantic Ocean/Long Island Sound_Include	Base	46006	2	NEMA	Northeastern Coastal Zone	NY	Include	NAP	2nd	0.000148541	NonUrban	NY_NAP_2nd_Include	Atlantic Ocean/Long Island Sound	NT_Wetland	"Remove from list, site is in a wetland"
SAIR	1	Unnamed Stream in Southhampton		9496252	Southhampton	40.84710941	-72.65171162																																																						Random Probablisitc			NYR08719-0106	1932896.649	2220514.177	1st	80.60717545	Atlantic Ocean/Long Island Sound_Include	Base	46006	1	NEMA	Atlantic Coastal Pine Barrens	NY	Include	CPL	1st	3.41E-05	NonUrban	NY_CPL_1st_Include	Atlantic Ocean/Long Island Sound	Target_No_Access	"Ok, just upstream from Rd. across from Suffolk Co. Airforce Base"
MAMR	02B	Mamaroneck	Mamaroneck River	6241327	White Plains	40.98649979	-73.73731995	3.93	mod	municipal	Eutrophic	Eutrophic	Natural	17	14	6.39	3	39	74	100	5	53	2	0	7	7	0	4	1	1	4	2	1	0	1	3	0	0	1	Hydropsyche betteni	Undetermined Turbellaria	Cheumatopsyche sp.	Stenelmis crenata	Undetermined Enchytraeidae	40	21	13	7	5					65	67	30	54	60	47	57	Random Probablisitc	7.12244898	7.530612245	NYR08719-0107	1840937.098	2213849.777	3rd	8.852599902	Atlantic Ocean/Long Island Sound_Include	Base	46006	3	NEMA	Northeastern Coastal Zone	NY	Include	NAP	3rd	0.000161328	Urban	NY_NAP_3rd_Include	Atlantic Ocean/Long Island Sound	Target_Sampled	Ok just off Hutchinson River Rd.
			Byram River	7737521																																																												NYR08719-0108	1847460.928	2216040.036	4th+	0.54349457	Atlantic Ocean/Long Island Sound_Include	Base	55800	4	NEMA	Northeastern Coastal Zone	NY	Include	NAP	4th	0.000263588	Urban	NY_NAP_4th_Include	Atlantic Ocean/Long Island Sound	NT_Tidal	"Remove from list, site is not wadeable and is tidal"
MILI	2	Mill River	Mill River	7733289	Sarles Corners	41.18310928	-73.56127167	6.43	slt	impoundment/nonpoint	Mesotrophic	Mesotrophic	Natural	17	19	4.75	6	67	45	100	23	40	23	0	4	0	0	8	2	0	9	4	2	0	2	0	0	0	1	Isonychia bicolor	Hydropsyche betteni	Chimarra aterrima?	Hydropsyche sparna	Gammarus sp.	20	15	10	8	8					53	48	49	52	49	47	43	Random Probablisitc	5.610526316	5.357894737	NYR08719-0109	1850160.07	2239011.745	3rd	8.852599902	Atlantic Ocean/Long Island Sound_Include	Base	46006	3	NEMA	Northeastern Coastal Zone	NY	Include	NAP	3rd	0.000161328	NonUrban	NY_NAP_3rd_Include	Atlantic Ocean/Long Island Sound	Target_Sampled	Ok Hike in from Rte 137 or from Shad Rd.
				9499784																																																												NYR08719-0110	1866607.251	2176638.095	1st	80.60717545	Atlantic Ocean/Long Island Sound_Include	Base	46006	0	NEMA	Atlantic Coastal Pine Barrens	NY	Include	CPL	1st	3.41E-05	NonUrban	NY_CPL_1st_Include	Atlantic Ocean/Long Island Sound	NT_Tidal	"Remove from list, site is in an estuary"
MAMR	01A	Mamaroneck River	Mamaroneck River	6240357	White Plains	41.00616793	-73.72074467																																																						Random Probablisitc			NYR08719-0112	1841926.255	2216583.317	3rd	8.852599902	Atlantic Ocean/Long Island Sound_Include	Base	46006	3	NEMA	Northeastern Coastal Zone	NY	Include	NAP	3rd	0.000161328	Urban	NY_NAP_3rd_Include	Atlantic Ocean/Long Island Sound	Target_No_Access	Ok access through Maplemoor Golf Club just west of Hutchinson River Parkway
			Peconic River	9496206																																																												NYR08719-0113	1920914.618	2222104.579	3rd	8.852599902	Atlantic Ocean/Long Island Sound_Include	Base	46006	3	NEMA	Atlantic Coastal Pine Barrens	NY	Include	CPL	3rd	6.31E-05	NonUrban	NY_CPL_3rd_Include	Atlantic Ocean/Long Island Sound	NT_Wetland	"Remove from list, site is in a wetland"
			Tuthills Creek	9498340																																																												NYR08719-0114	1904993.827	2203334.565	1st	80.60717545	Atlantic Ocean/Long Island Sound_Include	Base	46006	1	NEMA	Atlantic Coastal Pine Barrens	NY	Include	CPL	1st	3.41E-05	Urban	NY_CPL_1st_Include	Atlantic Ocean/Long Island Sound	NT_Tidal	"Remove from list, site is not wadeable and is tidal"
