"WATERBODY_CODE","WATERBODY_NAME","WATERBODY_CLASS","PUBLIC_WATER_SUPPLY","LATITUDE","LONGITUDE"
"0602LLE1052","Lower Leland Pond","unknown","FALSE",42.8727,-75.573303
"0703GRE0112C","Green Pond","unknown","FALSE",43.479599,-75.933601
"0701UWB5470","Gillie Lake","unknown","FALSE",43.064499,-76.3545
"0703UWB5181","Carterville Pond","unknown","FALSE",43.337799,-75.894501
"0703PONXXX1","Pond A Links At Erie Village","unknown","FALSE",43.056739,-76.01258
"0906UWB5014","Boyd Lake","unknown","FALSE",44.309399,-75.7397
"1101MUDXXX1","Mud Pond","unknown","FALSE",43.243187,-73.710292
"1501LIL1003F","Lily Pond","unknown","FALSE",41.215599,-74.1119
"1501FOU6903","Four Corners Pond","unknown","FALSE",41.2225,-74.222397
"1501SPR1003C","Spring Pond","unknown","FALSE",41.233002,-74.108299
"1701LRE0762","Little Reed Pond","unknown","FALSE",41.072498,-71.919403
"1701MCK5035","Mckay Pond","unknown","FALSE",40.907101,-72.795303
"1701MEAXXX1","Meadow Brook Pointe- Mill Pond Golf Course","unknown","FALSE",40.842386,-72.96431
"1701LOF0998","Lofts Pond","unknown","FALSE",40.654598,-73.620903
"1701HAS0420","Hashamomuck Pond","unknown","FALSE",41.086601,-72.410004
"1701HAL0818","Halsey Neck Pond","unknown","FALSE",40.865601,-72.407402
"1701GRE0741","Great Pond","unknown","FALSE",41.059399,-72.091598
"1701BRIXXX1","Bridgehampton Golf Course Pond","unknown","FALSE",40.929295,-72.300824
"1701DUGXXX1","Old Dug Pond","unknown","FALSE",40.912039,-72.314872
"1702ARR0356A","Arrow Head Pond","unknown","FALSE",40.961201,-72.770698
"1702MIL0125","Mill Pond","unknown","FALSE",40.836601,-73.699203
"1702MIL0334","Mills Pond","unknown","FALSE",40.897301,-73.1483
"1701WALXXX1","Walden Pond","unknown","FALSE",40.813562,-72.772956
"1702FRE0209","Fresh Pond","unknown","FALSE",40.934502,-73.456802
"1702STU1069C","Stump Pond","unknown","FALSE",40.5886,-74.119698
"1702TWI1106A","Twin Lakes","unknown","FALSE",41.189701,-73.613403
"1702UWB5331","Bowne Pond","unknown","FALSE",40.770707,-73.808255
"1702WOL0367","Wolf Pit Lake","unknown","FALSE",41.002899,-72.532501
"1702UWB0326","Blydenburg Lake","unknown","FALSE",40.826801,-73.219704
"1702WEB0291","Webster Pond","unknown","FALSE",40.848499,-73.228897
"1702PAI1082","Paine Lake","unknown","FALSE",40.9356,-73.790703
"1702UWB0119","Kings Point Pond","unknown","FALSE",40.831402,-73.749199
"1702UWB0158","Unnamed Water","unknown","FALSE",40.855598,-73.4618
"1702VAI0291A","Vail Pond","unknown","FALSE",40.846401,-73.227303
"1701UWB0959A","Beaver Lane Pond","unknown","FALSE",40.713901,-73.367798
"1701UWB0961A","Oak Street Pond","unknown","FALSE",40.679199,-73.4132
"1701UWB1011A","Schodack Pond","unknown","FALSE",40.672901,-73.650703
"1701UWB5046","Unnamed Water","unknown","FALSE",40.909802,-72.630096
"1701VICXXX1","Pond At Victorian Gardens","unknown","FALSE",40.810068,-73.045963
"1701UWB0910A","Sherwood Lake","unknown","FALSE",40.7178,-73.216698
"1701OTT0709","Otter Pond","unknown","FALSE",40.992298,-72.299202
"1701SAG0786","Sagaponack Lake","unknown","FALSE",40.9104,-72.2911
"1701SOUXXX1","Southold Pond","unknown","FALSE",41.030569,-72.398665
"1701SOUXXX2","South Jamesport Pond","unknown","FALSE",40.94,-72.579
"1701SPR0867","Spring Lake","unknown","FALSE",40.873798,-72.958702
"1701MIL0994","Milburn Pond","unknown","FALSE",40.652199,-73.602699
"1701SAY0809A","Sayre Pond","unknown","FALSE",40.884701,-72.352997
"1701TOW0778","Town Pond","unknown","FALSE",40.954102,-72.193298
"1701UWB0689","Fresh Pond North Haven","unknown","FALSE",41.015202,-72.300903
"1701UWB0730","Unnamed Water","unknown","FALSE",41.046001,-72.173599
"1701UWB0771","Unnamed Water","unknown","FALSE",41.045299,-71.895698
"1701SCH5296","Schodack Pond","unknown","FALSE",40.6716,-73.6474
"1701OAKXXX1","Oakdale","unknown","FALSE",40.73696,-73.130543
"0801UWB5460","East Rd Pond","unknown","FALSE",43.5513,-75.350304
"0801HIGXXX1","Higby Pond","unknown","FALSE",43.779157,-75.419706
"1101UWB0016","Unnamed Water","unknown","FALSE",42.948502,-73.648804
"0501MIL0016","Miller Pond","unknown","FALSE",42.0714,-76.792198
"0705UWB5898","The Lindsay-Parsons Biodiversity Preserve Lakes(S)","unknown","FALSE",42.309101,-76.517799
"1310UWB0038","Unnamed Water","unknown","FALSE",42.5667,-73.593597
"0701UWB5059","Unnamed Water","unknown","FALSE",43.126202,-76.329399
"0402BIGXXX1","Big Pond","unknown","FALSE",43.04275079,-77.66510224
"0701UWBXXX1","Unnamed Water (Baldwinsville)","unknown","FALSE",43.173603,-76.346497
"0403ALL5341","Allen Lake","unknown","FALSE",42.3852,-78.066704
"1201UWBXXX1","Turtle Pond","unknown","FALSE",43.28994,-75.417986
"0602COO5406","Cook Pond","unknown","FALSE",42.2995,-75.746201
