"LAKE_ID","FID","Shape","siteID","ycoord","xcoord","PANEL_USE","STRATUM","PROB_CAT","AREA_CAT","AREA_HA","PSTL_CODE","STATE_NM","GNIS_ID","GNIS_NAME","BORD_LAKE","STATE_PCT","ELEV","PERM_ID","REACHCODE_2","REACHCODE","FTYPE","FCODE","Eval_Status","SAMPLING_YR","SAMPLE_DATE","phos_trophic","chla_trophic","TP_threshold","TN_threshold","CHLA_threshold","microcystin","d.oxygen","statusTNT","keep","WgtAdj"
"",18,"Point","LAK20_NY-10019",44.360538,-73.534678,"Base20_20","New_York","(1,4]","(1,4]",3.177485,"NY","New York",," ","Not_Border",100,0,"165902378","W04150408012537",4.15e+12,"LakePond",-26532,"NonTarget",2020,,,,,,,"Non-detect",,"NonTarget","yes",63.0344827586207
"0801KAY0984A",19,"Point","LAK20_NY-10020",43.407006,-75.186734,"Base20_20","New_York",">50",">50",189.168254,"NY","New York",954416,"Kayuta Lake","Not_Border",100,0,"131846933","W04150101009477",4.15e+12,"LakePond",-26532,"Target_Sampled",2020,2020-07-08,"oligotrophic",,"Good",,,"Non-detect","Fair","Target","yes",15.1515151515152
"1401SWA0211",20,"Point","LAK20_NY-10021",41.593453,-74.983015,"Base20_20","New_York","(20,50]","(20,50]",25.138422,"NY","New York",966875,"Swamp Pond","Not_Border",100,966,"25859460","W02040101001533",2.04e+12,"LakePond",-26527,"Target_Sampled",2020,2020-08-04,"eutrophic","eutrophic","Poor","Fair","Poor","Non-detect","Fair","Target","yes",29.3333333333333
"0905WAL0214",21,"Point","LAK20_NY-10022",43.970473,-74.943767,"Base20_20","New_York","(10,20]","(10,20]",17.67655,"NY","New York",968684,"Walker Lake","Not_Border",100,638,"133099292","W04150302001741",4.15e+12,"LakePond",-26527,"Target_PhysicalAccess",2020,,,,,,,"Non-detect",,"Target","yes",55.7222222222222
"",22,"Point","LAK20_NY-10023",43.080447,-76.246096,"Base20_20","New_York","(20,50]","(20,50]",21.065936,"NY","New York",," ","Not_Border",100,0,"87959312","W04140201007316",4.14e+12,"Reservoir",-21911,"NonTarget",2020,,,,,,,"Non-detect",,"NonTarget","yes",29.3333333333333
"1203MET0821",23,"Point","LAK20_NY-10024",43.299499,-74.719839,"Base20_20","New_York","(4,10]","(4,10]",5.495236,"NY","New York",943928,"Big Metcalf Lake","Not_Border",100,0,"53541287","W02020004002849",2.02e+12,"LakePond",-26532,"Target_Sampled",2020,2020-07-07,"oligotrophic",,"Good",,,"Non-detect","Fair","Target","yes",166
"0905JON0123",25,"Point","LAK20_NY-10026",44.256764,-75.22636,"Base20_20","New_York","(10,20]","(10,20]",12.090075,"NY","New York",976504,"Jones Pond","Not_Border",100,0,"133098446","W04150302001507",4.15e+12,"LakePond",-26532,"Target_NoOwnerAccess",2020,,,,,,,"Non-detect",,"Target","yes",55.7222222222222
"0704CAN0286",26,"Point","LAK20_NY-10027",42.778105,-77.305004,"Base20_20","New_York",">50",">50",4260.667731,"NY","New York",945740,"Canandaigua Lake","Not_Border",100,209.1,"87961872","W04140201003807",4.14e+12,"LakePond",-26527,"Target_Sampled",2020,2020-08-16,"oligotrophic","mesotrophic","Good","Good","Good","Non-detect",,"Target","yes",15.1515151515152
"1203T L0862",27,"Point","LAK20_NY-10028",43.45535,-74.582061,"Base20_20","New_York","(10,20]","(10,20]",18.114133,"NY","New York",966971,"T Lake","Not_Border",100,0,"53540537","W02020004011815",2.02e+12,"LakePond",-26532,"Target_PhysicalAccess",2020,,,,,,,"Non-detect",,"Target","yes",55.7222222222222
"1302HEM0103H",28,"Point","LAK20_NY-10029",41.310093,-73.560958,"Base20_20","New_York","(1,4]","(1,4]",3.490885,"NY","New York",," ","Not_Border",100,220.24,"55497533","W02030101001564",2.03e+12,"LakePond",-26525,"Target_Sampled",2020,2020-08-04,"mesotrophic","mesotrophic","Fair","Fair","Good","Non-detect","Fair","Target","yes",63.0344827586207
"0903LMO0130",29,"Point","LAK20_NY-10030",43.997511,-74.598129,"Base20_20","New_York","(1,4]","(1,4]",3.825906,"NY","New York",955598,"Little Moose Pond","Not_Border",100,0,"132436549","W04150305001492",4.15e+12,"LakePond",-26532,"Target_NoOwnerAccess",2020,,,,,,,"Non-detect",,"Target","yes",63.0344827586207
"0602LUD0099",30,"Point","LAK20_NY-10031",42.465573,-75.70882,"Base20_20","New_York","(20,50]","(20,50]",47.629443,"NY","New York",956144,"Lake Ludlow","Not_Border",100,444.4,"62635796","W02050102001945",2.05e+12,"LakePond",-26527,"Target_Sampled",2020,2020-07-21,"oligotrophic",,"Good",,,"Non-detect","Fair","Target","yes",29.3333333333333
"1310BLA0N80B",31,"Point","LAK20_NY-10032",42.617744,-73.409629,"Base20_20","New_York","(10,20]","(10,20]",14.672391,"NY","New York",944185,"Black River Pond","Not_Border",100,0,"52845905","W02020006001552",2.02e+12,"LakePond",-26532,"Target_Sampled",2020,2020-08-03,"mesotrophic","mesotrophic","Good","Good","Good","Non-detect","Fair","Target","yes",55.7222222222222
"0404UWB5318",32,"Point","LAK20_NY-10033",42.45316,-77.630935,"Base20_20","New_York","(10,20]","(10,20]",12.99229,"NY","New York",," ","Not_Border",100,0,"84201277","W04130002001439",4.13e+12,"LakePond",-26532,"Target_NoOwnerAccess",2020,,,,,,,"Non-detect",,"Target","yes",55.7222222222222
"0905CRY0289",33,"Point","LAK20_NY-10034",44.101869,-75.068359,"Base20_20","New_York","(4,10]","(4,10]",5.888077,"NY","New York",976211,"Crystal Lake","Not_Border",100,454.8,"133098922","W04150302001656",4.15e+12,"LakePond",-26527,"Target_Sampled",2020,2020-08-31,"oligotrophic","mesotrophic","Good","Good","Fair","Non-detect","Fair","Target","yes",166
"0903UPR0239",34,"Point","LAK20_NY-10035",44.126063,-74.088783,"Base20_20","New_York","(20,50]","(20,50]",30.996139,"NY","New York",968294,"Upper Pond","Not_Border",100,0,"132434446","W04150305001367",4.15e+12,"LakePond",-26532,"Target_Sampled",2021,2021-07-19,"oligotrophic","oligotrophic","Good",,"Good","Non-detect","Good","Target","yes",29.3333333333333
"0703SIS0112B",35,"Point","LAK20_NY-10036",43.482702,-75.927243,"Base20_20","New_York","(1,4]","(1,4]",2.956856,"NY","New York",," ","Not_Border",100,198.1,"124500429","W04140202001583",4.14e+12,"LakePond",-26527,"Target_NoOwnerAccess",2020,,,,,,,"Non-detect",,"Target","yes",63.0344827586207
"1403UWB0294A",36,"Point","LAK20_NY-10037",41.949667,-74.879489,"Base20_20","New_York","(1,4]","(1,4]",3.714317,"NY","New York",," ","Not_Border",100,0,"25536044","W02040102000504",2.04e+12,"LakePond",-26532,"NonTarget",2020,,,,,,,"Non-detect",,"NonTarget","yes",63.0344827586207
"NONE",37,"Point","LAK20_NY-10038",44.088851,-75.59655,"Base20_20","New_York","(4,10]","(4,10]",9.136102,"NY","New York",," ","Not_Border",100,205.7,"131860737","W04150303000688",4.15e+12,"LakePond",-26527,"NonTarget",2020,,,,,,,"Non-detect",,"NonTarget","yes",166
"0706UWB5587",38,"Point","LAK20_NY-10039",42.586735,-76.332867,"Base20_20","New_York","(1,4]","(1,4]",3.028167,"NY","New York",," ","Not_Border",100,434.3,"87962578","W04140201003843",4.14e+12,"LakePond",-26527,"Target_NoOwnerAccess",2020,,,,,,,"Non-detect",,"Target","yes",63.0344827586207
"1201SPE0760",39,"Point","LAK20_NY-10040",43.239702,-74.579702,"Base20_20","New_York",">50",">50",78.241839,"NY","New York",965962,"Spectacle Lake","Not_Border",100,527.3,"53541731","W02020004002876",2.02e+12,"LakePond",-26527,"Target_Sampled",2020,2020-08-11,"oligotrophic","oligotrophic","Good","Good","Good","Non-detect","Fair","Target","yes",15.1515151515152
"1701UWI0911",40,"Point","LAK20_NY-10041",40.728622,-73.202632,"Base20_20","New_York","(4,10]","(4,10]",4.069548,"NY","New York",968311,"Upper Winganhauppauge Lake","Not_Border",100,0,"139734512","W02030202018320",2.03e+12,"LakePond",-26532,"NonTarget",2020,,,,,,,"Non-detect",,"NonTarget","yes",166
"1004FER0222",41,"Point","LAK20_NY-10042",44.488702,-73.718471,"Base20_20","New_York",">50",">50",172.449864,"NY","New York",949989,"Fern Lake","Not_Border",100,373,"115353567","W04150404001208",4.15e+12,"LakePond",-26527,"Target_Sampled",2020,2020-09-02,"oligotrophic","mesotrophic","Good",,"Fair","Non-detect","Good","Target","yes",15.1515151515152
"NONE",42,"Point","LAK20_NY-10043",42.674868,-78.371048,"Base20_20","New_York","(1,4]","(1,4]",3.732688,"NY","New York",," ","Not_Border",100,0,"158714909","W04120103003940",4.12e+12,"LakePond",-26532,"NonTarget",2020,,,,,,,"Non-detect",,"NonTarget","yes",63.0344827586207
"1104GRE0127",43,"Point","LAK20_NY-10044",43.149546,-74.169999,"Base20_20","New_York",">50",">50",8357.005861,"NY","New York",973352,"Great Sacandaga Lake","Not_Border",100,0,"47728523","W02020002004779",2.02e+12,"LakePond",-26527,"Target_Sampled",2020,2020-08-31,"oligotrophic","mesotrophic","Good","Good","Fair","Non-detect","Good","Target","yes",15.1515151515152
"1301WIC0183A",44,"Point","LAK20_NY-10045",41.424486,-73.820974,"Base20_20","New_York","(20,50]","(20,50]",45.904462,"NY","New York",," ","Not_Border",100,0,"55493581","W02030101001484",2.03e+12,"LakePond",-26532,"Target_Sampled",2020,2021-08-30,"oligotrophic","mesotrophic","Good","Good","Fair","Non-detect","Good","Target","yes",29.3333333333333
"1104HAR0680",45,"Point","LAK20_NY-10046",43.974198,-74.141731,"Base20_20","New_York",">50",">50",126.63353,"NY","New York",952273,"Harris Lake","Not_Border",100,473.8,"89362727","W02020001005097",2.02e+12,"LakePond",-26527,"Target_Sampled",2020,2020-09-01,"oligotrophic","mesotrophic","Good","Good","Good","Non-detect","Fair","Target","yes",15.1515151515152
"NONE",46,"Point","LAK20_NY-10047",42.744255,-76.053811,"Base20_20","New_York","(1,4]","(1,4]",3.822573,"NY","New York",," ","Not_Border",100,0,"{A584963B-484B-442E-A13F-0939C4FEF5FA}","W02050102014863",2.05e+12,"LakePond",-26535,"NonTarget",2020,,,,,,,"Non-detect",,"NonTarget","yes",63.0344827586207
"1310UWB6691",47,"Point","LAK20_NY-10048",42.33488,-73.741871,"Base20_20","New_York","(1,4]","(1,4]",3.33296,"NY","New York",," ","Not_Border",100,0,"52850359","W02020006001734",2.02e+12,"LakePond",-26532,"Target_NoOwnerAccess",2020,,,,,,,"Non-detect",,"Target","yes",63.0344827586207
"1401UWB5188",48,"Point","LAK20_NY-10049",41.57332,-74.769898,"Base20_20","New_York","(1,4]","(1,4]",3.77611,"NY","New York",," ","Not_Border",100,0,"26148776","W02040104002227",2.04e+12,"LakePond",-26532,"Target_NoOwnerAccess",2020,,,,,,,"Non-detect",,"Target","yes",63.0344827586207
"NONE",49,"Point","LAK20_NY-10050",43.879328,-74.766312,"Base20_20","New_York",">50",">50",59.548288,"NY","New York",956109,"Lower Sister Lake","Not_Border",100,590,"131842438","W04150101002435",4.15e+12,"LakePond",-26527,"Target_PhysicalAccess",2020,,,,,,,"Non-detect",,"Target","yes",15.1515151515152
"0903WIL0054",50,"Point","LAK20_NY-10051",44.351711,-74.497901,"OverSamp","New_York","(20,50]","(20,50]",28.516894,"NY","New York",971328,"Willis Pond","Not_Border",100,477,"132433661","W04150305001289",4.15e+12,"LakePond",-26527,"Target_NoOwnerAccess",2020,,,,,,,"Non-detect",,"Target","yes",29.3333333333333
"1202ENG0589",51,"Point","LAK20_NY-10052",42.756978,-74.652272,"OverSamp","New_York","(10,20]","(10,20]",11.959107,"NY","New York",949663,"Engleville Pond","Not_Border",100,432.8,"33528643","W02020005000806",2.02e+12,"LakePond",-26527,"Target_Sampled",2020,2020-07-21,"eutrophic","eutrophic","Poor",,"Poor","Non-detect","Good","Target","yes",55.7222222222222
"",52,"Point","LAK20_NY-10053",42.30734,-75.931331,"OverSamp","New_York","(20,50]","(20,50]",23.355184,"NY","New York",," ","Not_Border",100,0,"{95AC3B74-760A-4917-B127-CEE41712886D}","W02050102010355",2.05e+12,"LakePond",-26525,"NonTarget",2020,,,,,,,"Non-detect",,"NonTarget","yes",29.3333333333333
"0903SOU0017A",53,"Point","LAK20_NY-10054",44.525388,-74.866941,"OverSamp","New_York",">50",">50",91.776206,"NY","New York",977031,"South Colton Reservoir","Not_Border",100,296.9,"132433383","W04150305001254",4.15e+12,"LakePond",-26527,"Target_Sampled",2020,2020-09-01,"oligotrophic","oligotrophic","Good","Good","Good","Non-detect","Fair","Target","yes",15.1515151515152
"0302UWB0087",54,"Point","LAK20_NY-10055",43.210331,-76.704007,"OverSamp","New_York","(10,20]","(10,20]",10.407154,"NY","New York",," ","Not_Border",100,114,"113133271","W04140101000887",4.14e+12,"LakePond",-26527,"Target_NoOwnerAccess",2020,,,,,,,"Non-detect",,"Target","yes",55.7222222222222
"1104FOU0325",55,"Point","LAK20_NY-10056",43.357672,-73.824642,"OverSamp","New_York","(20,50]","(20,50]",20.481004,"NY","New York",950544,"Fourth Lake","Not_Border",100,192,"89366265","W02020001001913",2.02e+12,"LakePond",-26527,"Target_Sampled",2020,2020-07-09,"mesotrophic","mesotrophic","Fair","Good","Fair","Non-detect","Fair","Target","yes",29.3333333333333
