LOCATION	STATION	NAME	GNIS_NAME	coll_date	collect	DESCRIPT	Direct	LATITUDE	LONGITUDE	bap	wqa	MAX_ISD	P_Trophic	N_Trophic	Habitat Assessment	isd_impmax_val	isd_munimax_val	isd_natmax_val	isd_siltmax_val	isd_toxicmax_val	isd_nonpointmax_val	isd_sewagemax_val	spp	hbi	ept	pma	div	nco	top3	totind	chir	trich	ephem	plecop	coleop	oligo	moll	crus	inst	other	chir_tax	tric_tax	eph_tax	plec_tax	col_tax	olig_tax	moll_tax	crus_tax	oth_tax	inst_tax	domin1	domin2	domin3	domin4	domin5	contr1	contr2	contr3	contr4	contr5	NBI-P	NBI-N	HMA	siteID	xcoord	ycoord	mdcaty	wgt	stratum	panel	FCODE	SO	NAWQA	NACEC_ECO	ST	Frame_07	WSA_Eco9	StrahCat	INC_FW08	WSA_ID	Urban	Shape_Leng	NFWACat	Basin	Eval_Status	Eval_Reason
MITC	1	West Brook/Mitchell Rd.	West Brook																																																													NYR08719-0658	1755273.309	2623795.274	1st	190.7609504	Lake Champlain_Include	Base	46006	1	NEMA	Northern Appalachian and Atlantic Maritime Highlands	NY	Include	NAP	1st	8.72E-05		NonUrban	1223.448934	NY_NAP_1st_Include	Lake Champlain	T_NoAccess	"No sampled, no access"
SABL	10	West Branch Ausable River	West Branch Ausable River																																																													NYR08719-0640	1752600.959	2590151.669	3rd	42.15125214	Lake Champlain_Include	Base	55800	3	NEMA	Northern Appalachian and Atlantic Maritime Highlands	NY	Include	NAP	3rd	0.000161328		NonUrban	5828.019684	NY_NAP_3rd_Include	Lake Champlain	T_NoAccess	"No sampled, no access"
			Shelving Rock Brook																																																													NYR08719-0635	1784705.799	2495681.484	2nd	76.94455667	Lake Champlain_Include	Base	46006	2	NEMA	Northern Appalachian and Atlantic Maritime Highlands	NY	Include	NAP	2nd	0.000148541		NonUrban	1175.538149	NY_NAP_2nd_Include	Lake Champlain	NT_Bay	"Remove from list, site is actually shelving rock bay"
			Twobridge Brook																																																													NYR08719-0639	1720895.169	2575050.957	2nd	76.94455667	Lake Champlain_Include	Base	46006	2	NEMA	Northern Appalachian and Atlantic Maritime Highlands	NY	Include	NAP	2nd	0.000148541		NonUrban	3014.9827	NY_NAP_2nd_Include	Lake Champlain	NT_Wetland	"Remove from list, site is in a wetland"
			Wood Creek																																																													NYR08719-0647	1799081.929	2484957.265	3rd	42.15125214	Lake Champlain_Include	Base	33600	3	NEMA	Eastern Great Lakes and Hudson Lowlands	NY	Include	NAP	3rd	0.000161328		NonUrban	3631.610997	NY_NAP_3rd_Include	Lake Champlain	NT_Canal	"Remove from list, site is in the barge canal"
			Poultney River																																																													NYR08719-0651	1801302.051	2506910.486	4th+	26.58188485	Lake Champlain_Include	Base	46006	4	NEMA	Eastern Great Lakes and Hudson Lowlands	NY	Include	NAP	4th	0.000263588		NonUrban	3547.032638	NY_NAP_4th_Include	Lake Champlain	NT_Wetland	"Remove from list, site is in a wetland"
			Pete Lagus Brook																																																													NYR08719-0659	1739365.668	2587699.836	1st	190.7609504	Lake Champlain_Include	Base	46006	1	NEMA	Northern Appalachian and Atlantic Maritime Highlands	NY	Include	NAP	1st	8.71622E-05		NonUrban	5043.438265	NY_NAP_1st_Include	Lake Champlain	NT_Wetland	"Remove from list, site is in a wetland"
			Ausable River																																																													NYR08719-0661	1770711.103	2603654.907	4th+	26.58188485	Lake Champlain_Include	OverSamp	46006	4	NEMA	Eastern Great Lakes and Hudson Lowlands	NY	Include	NAP	4th	0.000263588		NonUrban	1771.769519	NY_NAP_4th_Include	Lake Champlain	NT_Other	"Remove from list, site is at raindow falls in ausable chasm"
			Alder Brook																																																													NYR08719-0668	1731803.672	2597294.548	2nd	76.94455667	Lake Champlain_Include	OverSamp	46006	2	NEMA	Northern Appalachian and Atlantic Maritime Highlands	NY	Include	NAP	2nd	0.000148541		NonUrban	9470.978869	NY_NAP_2nd_Include	Lake Champlain	NT_Wetland	"Remove from list, site is in a wetland"
			North Branch Saranac River																																																													NYR08719-0672	1723912.128	2594356.544	3rd	42.15125214	Lake Champlain_Include	OverSamp	46006	3	NEMA	Northern Appalachian and Atlantic Maritime Highlands	NY	Include	NAP	3rd	0.000161328		NonUrban	3835.848836	NY_NAP_3rd_Include	Lake Champlain	NT_Wetland	"Remove from list, site is in a wetland"
			Boquet River																																																													NYR08719-0653	1782353.009	2587287.258	4th+	26.58188485	Lake Champlain_Include	Base	55800	4	NEMA	Eastern Great Lakes and Hudson Lowlands	NY	Include	NAP	4th	0.000263588		NonUrban	3735.835797	NY_NAP_4th_Include	Lake Champlain	NT_NonWadeable	"Remove from list, site is not wadeable ""large river"""
