"","Type","Subpopulation","Indicator","Category","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"1","PROB_CAT","(1,4]","StatusTNT","NonTarget",5,29.4117647058824,9.26493460994328,11.2528265512749,47.5707028604898,20,6.30015553476143,7.65192205486691,32.3480779451331
"2","PROB_CAT","(1,4]","StatusTNT","Target",12,70.5882352941176,9.26493460994328,52.4292971395102,88.7471734487251,48,6.30015553476143,35.6519220548669,60.3480779451331
"3","PROB_CAT","(1,4]","StatusTNT","Total",17,100,NA,NA,NA,68,NA,NA,NA
"4","PROB_CAT","(10,20]","StatusTNT","NonTarget",1,9.09090909090909,7.38851834841262,0,23.5721389529112,6.18181818181818,5.02419247692058,0,16.0290544879796
"5","PROB_CAT","(10,20]","StatusTNT","Target",10,90.9090909090909,7.38851834841262,76.4278610470888,100,61.8181818181818,5.02419247692058,51.9709455120204,68
"6","PROB_CAT","(10,20]","StatusTNT","Total",11,100,NA,NA,NA,68,NA,NA,NA
"7","PROB_CAT","(20,50]","StatusTNT","NonTarget",3,23.0769230769231,10.5627432537675,2.37432672159543,43.7795194322507,15.6923076923077,7.18266541256187,1.6145421706849,29.7700732139305
"8","PROB_CAT","(20,50]","StatusTNT","Target",10,76.9230769230769,10.5627432537675,56.2204805677493,97.6256732784046,52.3076923076923,7.18266541256188,38.2299267860695,66.3854578293151
"9","PROB_CAT","(20,50]","StatusTNT","Total",13,100,NA,NA,NA,68,NA,NA,NA
"10","PROB_CAT","(4,10]","StatusTNT","NonTarget",2,22.2222222222222,13.5971006870737,0,48.8720498630515,15.1111111111111,9.24602846721011,0,33.232993906875
"11","PROB_CAT","(4,10]","StatusTNT","Target",7,77.7777777777778,13.5971006870737,51.1279501369485,100,52.8888888888889,9.24602846721011,34.767006093125,68
"12","PROB_CAT","(4,10]","StatusTNT","Total",9,100,NA,NA,NA,68,NA,NA,NA
"13","PROB_CAT",">50","StatusTNT","NonTarget",1,5.55555555555556,4.5187975965331,0,14.4122360981866,3.77777777777778,3.07278236564251,0,9.80032054676689
"14","PROB_CAT",">50","StatusTNT","Target",17,94.4444444444444,4.5187975965331,85.5877639018134,100,64.2222222222222,3.07278236564251,58.1996794532331,68
"15","PROB_CAT",">50","StatusTNT","Total",18,100,NA,NA,NA,68,NA,NA,NA
"16","PROB_CAT","(1,4]","TargetReason","Target_NoOwnerAccess",9,75,10.8844022954235,53.6669635077248,96.3330364922752,0.00132774296203069,0.000192689180582123,0.000950079107879191,0.00170540681618218
"17","PROB_CAT","(1,4]","TargetReason","Target_Sampled",3,25,10.8844022954235,3.66696350772482,46.3330364922752,0.000442580987343562,0.000192689180582123,6.49171331920664e-05,0.000820244841495058
"18","PROB_CAT","(1,4]","TargetReason","Total",12,100,0,100,100,0.00177032394937425,7.1713232982815e-20,0.00177032394937425,0.00177032394937425
"19","PROB_CAT","(10,20]","TargetReason","Target_NoOwnerAccess",5,50,13.7119770747399,23.125018776671,76.8749812233291,0.0435204637554503,0.0119350320259356,0.0201282308302843,0.0669126966806162
"20","PROB_CAT","(10,20]","TargetReason","Target_PhysicalAccess",2,20,10.9316245909026,0,41.4255904906816,0.0174081855021801,0.00951498743593134,0,0.0360572181899566
"21","PROB_CAT","(10,20]","TargetReason","Target_Sampled",3,30,12.1838364683326,6.12011932854243,53.8798806714576,0.0261122782532702,0.010604924268448,0.00532700862833722,0.0468975478782031
"22","PROB_CAT","(10,20]","TargetReason","Total",10,100,0,100,100,0.0870409275109005,2.4532694666934e-18,0.0870409275109005,0.0870409275109005
"23","PROB_CAT","(20,50]","TargetReason","Target_NoOwnerAccess",2,20,11.4457300416795,0,42.43321865846,0.0106913681648484,0.00611852568955308,0,0.0226834581548555
"24","PROB_CAT","(20,50]","TargetReason","Target_PhysicalAccess",1,10,8.27815893546947,0,26.2248933718186,0.0053456840824242,0.00442524224531168,0,0.0140189995061002
"25","PROB_CAT","(20,50]","TargetReason","Target_Sampled",7,70,11.3008678734673,47.8507059739583,92.1492940260417,0.0374197885769694,0.00604108695087732,0.025579475725775,0.0492601014281638
"26","PROB_CAT","(20,50]","TargetReason","Total",10,100,0,100,100,0.053456840824242,1.50231459873716e-18,0.053456840824242,0.053456840824242
"27","PROB_CAT","(4,10]","TargetReason","Target_NoOwnerAccess",3,42.8571428571429,17.3234639319365,8.90377746306871,76.810508251217,0.0648250975579688,0.0262032222533605,0.0134677256624837,0.116182469453454
"28","PROB_CAT","(4,10]","TargetReason","Target_Sampled",4,57.1428571428572,17.3234639319365,23.189491748783,91.0962225369313,0.0864334634106251,0.0262032222533605,0.03507609151514,0.13779083530611
"29","PROB_CAT","(4,10]","TargetReason","Total",7,100,0,100,100,0.151258560968594,6.93889390390723e-18,0.151258560968594,0.151258560968594
"30","PROB_CAT",">50","TargetReason","Target_NoOwnerAccess",2,11.7647058823529,7.00536136169216,0,25.494961849958,0.00867805857536396,0.00516739958026026,0,0.0188059756464015
"31","PROB_CAT",">50","TargetReason","Target_PhysicalAccess",1,5.88235294117647,5.29151637847578,0,16.2535344665928,0.00433902928768198,0.0039032075722174,0,0.0119891755534121
"32","PROB_CAT",">50","TargetReason","Target_Sampled",14,82.3529411764706,8.77925016112235,65.1459270494033,99.5599553035379,0.0607464100275477,0.00647588200740943,0.0480539145248943,0.0734389055302011
"33","PROB_CAT",">50","TargetReason","Total",17,100,0,100,100,0.0737634978905937,0,0.0737634978905937,0.0737634978905937
