"","Type","Subpopulation","Indicator","Statistic","NResp","Estimate","StdError","LCB95Pct","UCB95Pct"
"59","PROB_CAT","(1,4]","chlorophyll","Variance",3,9.26586666666667,"0.00205135610017177",9.26184608259086,9.26988725074247
"60","PROB_CAT","(1,4]","chlorophyll","Std. Deviation",3,3.04398861145482,"0.00033695199982883",3.04332819767064,3.04464902523901
"61","PROB_CAT","(10,20]","chlorophyll","5Pct",0,2.347,"",2.347,2.347
"62","PROB_CAT","(10,20]","chlorophyll","10Pct",0,2.374,"",2.374,2.374
"63","PROB_CAT","(10,20]","chlorophyll","25Pct",0,2.455,"",2.455,2.455
"64","PROB_CAT","(10,20]","chlorophyll","50Pct",1,3.6,"",0,9.45
"65","PROB_CAT","(10,20]","chlorophyll","75Pct",2,9.4275,"",2.37220648278279,9.45
"66","PROB_CAT","(10,20]","chlorophyll","90Pct",2,9.441,"",2.45320648278279,9.45
"67","PROB_CAT","(10,20]","chlorophyll","95Pct",2,9.4455,"",2.48020648278279,9.45
"68","PROB_CAT","(10,20]","chlorophyll","Mean",3,5.21666666666667,"2.14482581525349",1.01288531565808,9.42044801767526
"69","PROB_CAT","(10,20]","chlorophyll","Variance",3,9.20055555555555,"0.123344540333889",8.95880469881148,9.44230641229962
"70","PROB_CAT","(10,20]","chlorophyll","Std. Deviation",3,3.03324175685941,"0.0203321314654455",2.9933915114582,3.07309200226062
"71","PROB_CAT","(20,50]","chlorophyll","5Pct",1,0,"",0,1.08970774493155
"72","PROB_CAT","(20,50]","chlorophyll","10Pct",1,0,"",0,1.9590402813498
"73","PROB_CAT","(20,50]","chlorophyll","25Pct",1,1.011,"",0,2.29991567052281
"74","PROB_CAT","(20,50]","chlorophyll","50Pct",3,2.305,"",0.771533629228005,7.63749496493008
"75","PROB_CAT","(20,50]","chlorophyll","75Pct",5,7.275,"",2.28594724841978,9.42
"76","PROB_CAT","(20,50]","chlorophyll","90Pct",6,9.14,"",4.1524471989047,9.42
"77","PROB_CAT","(20,50]","chlorophyll","95Pct",6,9.28,"",4.4499471989047,9.42
"78","PROB_CAT","(20,50]","chlorophyll","Mean",7,3.92428571428571,"1.19903449788319",1.5742212822136,6.27435014635782
"79","PROB_CAT","(20,50]","chlorophyll","Variance",7,10.5560816326531,"0.132115174469247",10.2971406488821,10.815022616424
"80","PROB_CAT","(20,50]","chlorophyll","Std. Deviation",7,3.24901240881796,"0.0203315897025633",3.20916322525249,3.28886159238343
"81","PROB_CAT","(4,10]","chlorophyll","5Pct",0,1.564,"",1.564,1.564
"82","PROB_CAT","(4,10]","chlorophyll","10Pct",0,1.588,"",1.588,1.588
"83","PROB_CAT","(4,10]","chlorophyll","25Pct",1,1.66,"",0,4.85912412836253
