"","Lake_ID","WgtAdj","SAMPLE_DATE","siteID","ycoord","xcoord","PROB_CAT","Eval_Status","GNIS_NAME","CHLOROPHYLL A_OW_TOTAL","PHOSPHORUS, TOTAL_OW_TOTAL","OBJECTID","REACHCODE","VALUE_11","VALUE_21","VALUE_22","VALUE_23","VALUE_24","VALUE_31","VALUE_41","VALUE_42","VALUE_43","VALUE_52","VALUE_71","VALUE_81","VALUE_82","VALUE_90","VALUE_95","FID","OBJECTID_1","Join_Count","TARGET_FID","OBJECTID_12","Permanent_","FDate","Resolution","GNIS_ID","GNIS_Name","AreaSqKm","Elevation","ReachCode_1","FType","FCode","Shape_Leng","LkAcres","Perimeter","Location_I","Long","Lat","Region","County","Type","LocType","Shape_Le_1","Shape_Area","ReachNew"
"15","",63.0344827586207,NA,"LAK20_NY-10080",43.268847,-73.430029,"(1,4]","Target_NoOwnerAccess"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","",63.0344827586207,NA,"LAK20_NY-10107",44.332809,-75.712403,"(1,4]","NonTarget"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","",55.7222222222222,NA,"LAK20_NY-10112",42.175002,-74.000761,"(10,20]","NonTarget"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","",166,NA,"LAK20_NY-10071",44.130407,-74.425245,"(4,10]","Target_NoOwnerAccess","Heavens Lake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","",55.7222222222222,NA,"LAK20_NY-10108",43.120504,-74.049997,"(10,20]","NonTarget"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","",63.0344827586207,NA,"LAK20_NY-10090",44.584284,-74.49827,"(1,4]","Target_NoOwnerAccess","Whackers Pond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","",166,NA,"LAK20_NY-10110",43.914808,-73.863773,"(4,10]","Target_PhysicalAccess","Big Marsh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","",63.0344827586207,NA,"LAK20_NY-10077",41.235584,-73.569808,"(1,4]","Target_NoOwnerAccess","Gilmore Pond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","",55.7222222222222,NA,"LAK20_NY-10103",43.153193,-77.059478,"(10,20]","NonTarget"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","0102DAR5129",55.7222222222222,NA,"LAK20_NY-10082",42.931948,-78.3871,"(10,20]","Target_NoOwnerAccess"," ",NA,NA,4684,"W04120104001138",20.51282051,24.29149798,14.03508772,6.072874494,0.809716599,0.4048583,8.097165992,0,0,0,0.269905533,3.373819163,20.51282051,0.674763833,0.944669366,78063,78064,1,78063,27687,15568305,"11/10/1999 0:00:00",3,NA," ",0.094,0,4120104001138,390,39004,0.0166325641591,23.1655,1583.2795532,"0102DAR5129_C",-78.3880005,42.9318008,8,"Genesee","Lake","Centroid",0.0166325650067,1.0326544959e-05,"W04120104001138"
